#Language,ภาษาไทย
#Location,TH
#Image,th  
#StoryText32600,The higher the depravity, the more obedient you will fulfill your duty.
#StoryText32700,You may sell depraved slaves to get a higher price.
#StoryText32800,Good luck with that.
#StoryText32900,Slaves have the status of depravity.
#StoryText33000,<color=#FFFF00>'Depravity'</color> can be raised through <color=#FFFF00>'Sex, Childbirth, and Milking'</color>. The higher the depravity, the <color=#FFFF00>'Slave Price'</color> and <color=#FFFF00>'The price increases when services are provided at the brothel'</color>, and the <color=#FFFF00>'Trait are upgraded'</color>.
#StoryText33100,Also, the higher the depravity, the less likely the slave will escape from the brothel. 

#StoryText33200,Slaves have various stats.
#StoryText33300,Monsters have various stats.
#StoryText33400,They have race trait that are fixed for each race.
#StoryText33500,Their general trait is the trait that grows their stats. They can be handed over through mating and can also hand over traits that are not related to them.
#StoryText33600,If you use this well, you can breed strong offspring.

#StoryText07400,The baby girl has grown up.
#StoryText07500,She can now get pregnant and give birth. However, let's grow again.
#StoryText07600,Breastfeeding will help the girl grow up.
#StoryText07700,The baby is now a loli body shape. If you drink more breast milk, she will grow into an adult body shape.
#StoryText07750,Drag and drop breast milk to her.
#StoryText07800,<color=#FFFF00>'Loli girls'</color> have the <color=#FFFF00>'same womb as adults and can be pregnant and give birth'</color>, but <color=#FF0000>'recovery of health is slow'</color>.

#StoryText33700,<color=#FFFF00>'Breast milk'</color> has many uses, it can help your <color=#FFFF00>'child grow or develop new traits'</color>.
#StoryText33800,Let's try the breast milk obtained this time.
#StoryText33900,Feeding slaves with breast milk has a chance to reveal new traits or evolve existing traits.

#StoryText34000,Breastfeed one of your slaves.
#StoryText34100,The traits of slaves have been upgraded, in this way you can correct the traits of slaves.
#StoryText34200,Well, go ahead and breed a race of super-slaves already.

#StoryText34300,You're doing well, so time to give you more responsibility. Our biggest monster yet.
#StoryText34400,It is a <color=#FFFF00>'restored DNA of an ancient monster that was extinct'</color>.
#StoryText34500,First, leave this <color=#FFFF00>'goblin'</color> to <color=#C27AEB>'Flora'</color> to <color=#FFFF00>'dismantle it'</color>.
#StoryText34600,Did you get the <color=#FFFF00>'DNA'</color>?
#StoryText34700,If you give the <color=#FFFF00>'DNA'</color> to <color=#4DF4E4>'Noel'</color>, you can <color=#FFFF00>'remake the extinct monster'</color>.
#StoryText34800,<color=#FFFF00>'origin DNA'</color> is <color=#FFFF00>'an item that comes out with a certain probability'</color> when dismantling a monster or slave.
#StoryText34900,You can use this to craft <color=#FFFF00>'all monsters and slaves as well as monsters that were destroyed in ancient times'</color>.

#StoryText35000,Have you acquired a large monster?
#StoryText35100,Large monsters require <color=#FFFF00>'dedicated cages'</color> and <color=#FFFF00>'dedicated breeding rooms'</color>.
#StoryText35200,And you need <color=#FFFF00>'special slaves'</color> to breed them.
#StoryText35300,I'll give you a special slave as a gift.
#StoryText35400,This slave could carry the child of a large monster.
#StoryText35500,Slaves with <color=#FFFF00>'this ability of 3'</color> can conceive and <color=#FFFF00>'give birth to large monsters'</color>..

#StoryText35600,Do you know about <color=#FFFF00>'market rate'</color>?
#StoryText35700,<color=#FFFF00>'The market rate changes every night/day.'</color> Good luck with that.

#StoryText35800,You earn <color=#FFFF00>'Achievement points when performing certain actions'</color>.
#StoryText35810,You can <color=#FFFF00>'Use achievement points'</color> to <color=#FFFF00>'Upgrade NPC's abilities'</color>.
#StoryText35820,There is no order of upgrades, you can <color=#FFFF00>'choose what you want to upgrade'</color>.

#StoryText35900,Various events occur depending on the player's behavior.
#StoryText36000,Since most events interfere with play, play carefully to prevent them from occurring.

#StoryText36100,It's been a long time since I showed my ability.
#StoryText36200,let me take it~

#StoryText36300,A Slave got a <color=#FF0000>'STD'</color>.
#StoryText36400,Let's take care of it because if you leave it as it is, the venereal disease will spread and the value of your products will decrease.
#StoryText36500,<color=#FFFF00>'Stock condoms to prevent STDs.'</color>.

#StoryText36600,How about expanding your business from now on?
#StoryText36700,Let's remodel the empty above-ground space and use it as a <color=#FFFF00>'brothel'</color>.
#StoryText36800,You can now receive clients.
#StoryText36900,Before that, let me introduce you to <color=#FFFF00>'the employees of the business'</color>.
#StoryText37000,Sisters <color=#FFD158>'Sena'</color> and <color=#FFD158>'Lena'</color> are going to take charge of <color=#FFFF00>'the brothel's information and sales'</color>.
#StoryText37100,Good morning!
#StoryText37200,Good morning...
#StoryText37300,Then, let's start a brothel business together with them.
#StoryText37400,Come here. Let's get started.

#StoryText37500,Well, I'll educate you.
#StoryText37600,Me and my sister look at the counter here and will guide you to the <color=#FFFF00>'facilities that clients want'</color>!
#StoryText37700,If you want to operate efficiently, I think it would be better to have <color=#FFFF00>'various facilities...'</color>
#StoryText37800,We also sell <color=#FFFF00>'condoms'</color>!
#StoryText37900,Just in case, we can <color=#FFFF00>'prevent venereal diseases in clients...'</color>
#StoryText38000,They also sell <color=#FFFF00>'love gel'</color>!
#StoryText38100,It softens the insertion and <color=#FFFF00>'reduces the client's usage time...'</color>
#StoryText38200,We sell weird sex stuff, too!
#StoryText38300,<color=#FFFF00>'Cosmetic potion'</color> can <color=#FFFF00>'change the appearance of slaves or monsters at will...'</color>
#StoryText38400,Now, try building a facility.

#StoryText38500,It's our first client!
#StoryText38600,You have to put a slave in place so she can spread her legs for the clients.
#StoryText38700,We'll take care of slave's health, but it's not under our jurisdiction if slaves run away...
#StoryText38800,So if you want to minimize the damage, you'd better deploy <color=#FFFF00>'slaves whose depravity has been maximized...'</color>

#StoryText38900,If clients use our girls, it will improve our <color=#FFFF00>'reputation'</color>. The more reputable you are, <color=#FFFF00>'the more facilities and clients you will have!'</color>
#StoryText39000,So watch your reputation. Clean up, too!
#StoryText39100,That's it for our explanation, and We're looking forward to working with you!
#StoryText39200,Let's keep in touch...

#StoryText39300,You can <color=#FFFF00>'change the appearance of slaves and monsters at will'</color> if you feed the Cosmetic potion.
#StoryText39400,The appearance corrected with the cosmetic potion is <color=#FFFF00>'inherited to the next generation'</color>.

#StoryText39800,The reputation has improved a little...
#StoryText39900,I'll make it possible to use the new facility with the service...
#StoryText40000,From now on, we can offer new services to clients who like bestiality.
#StoryText40100,Added a facility to bestiality show and receive money.
#StoryText40200,In the case of a horse, it is <color=#FFFF00>'treated as a large monster'</color>, and <color=#FFFF00>'the same conditions as a large monster'</color> are required for a horse's pregnancy.
#StoryText40300,Senna and Lena will automatically sell the animal offspring for a fixed price.

#StoryText40400,Your reputation has improved a little!
#StoryText40500,I'll arrange for a new service.
#StoryText40600,You can now serve clients who like to watch birth!
#StoryText40700,A room where you can show birth and receive money has been added.
#StoryText40800,<color=#FFFF00>'You cannot give birth to monsters, only humans and animals can give birth'</color> in the aboveground facilities.

#StoryText40900,Your reputation has improved a little...
#StoryText41000,Here's a new facility and service...
#StoryText41100,You can offer advanced services.

#StoryText41200,Your reputation has gone up a lot!
#StoryText41300,Here's a new facility and service...
#StoryText41400,VVIP rooms offer top-of-the-line service!
#StoryText41500,The VVIP room is a <color=#FFFF00>'special facility'</color> where <color=#FFFF00>'only one'</color> can be built.
#StoryText41600,It's a rich man-only facility where <color=#FFFF00>'complete-depravity slaves, and ones who don't have venereal diseases, can be deployed'</color>.
#StoryText41700,Up to <color=#FFFF00>'two slaves'</color> can be assigned, and the girls will dress up as maids.

#StoryText41800,A private estate is now available. You can enter your personal estate by pressing the Estate button.
#StoryText41900,You can build facilities and place slaves and monsters in your personal estate just like the current facility.
#StoryText42000,Resource consumption does not occur in private estates, and clients do not come even if you build a brothel facility.
#StoryText42100,Instead, there is a player character, which can be used to create your illegitimate child, and bring them back to the existing estate.

#StoryText42200,Before we get to work, let's decide on a 'name' for the estate.
#StoryText42300,Please don't give it a foolish name?
#StoryText42400,Well, don't keep me waiting...

#StoryText42500,You're working hard.
#StoryText42600,I'll give you a slave as a gift.
#StoryText42700,This is a fallen Dwarf princesses.
#StoryText42800,She was expensive to aquire, but I will give her to you.
#StoryText42900,Be sure to fill her with lots of babies.

#StoryText43000,This girl is a stripper I cherished, but she's in too much debt.
#StoryText43100,She could never make enough money to repay me with dancing...
#StoryText43200,But if I give her to you, she can pay back her debt with her womb.
#StoryText43300,Make her birth lots of babies and I'll be satisfied.

#StoryText43400,It's been a long time since I've seen a hard worker like you.
#StoryText43500,You know, I have needs too...
#StoryText43600,You may now service me sexually.

#StoryText43700,Thanks to you, my work has been successful.
#StoryText43800,As a gift, I will give you a new slave.
#StoryText43900,She's a pureblood elf and the daughter of the tribe leader. She was my childhood friend, but... <BR>Now I can get my revenge on her for allowing them to banish me.
#StoryText44000,My farries kidnapped her on the night before she was to be married.
#StoryText44100,Amilia usually get any girls I aquire, but not her. I want her to become a pathetic breeding sow!
#StoryText44200,Make her birth lots of Monster children. Put her in the brothel and make her birth more elf daughters, then make them serve in the brothel together!
#StoryText44300,...~Ah!... *Ahem.* ...I got excited. Well, let's get back to it.

#StoryText44400,Seeing my old childhood friend bare many monsters and children has gotten me horny. 
#StoryText44500,Have sex with me.

#StoryText44600,It's the due date~
#StoryText44700,If you <color=#FFFF00>'Sell'</color> the monster you have decided to pay me back within today, <color=#FFFF00>'Payment is complete'</color>.
#StoryText44800,Of course, it's an amortization, so I won't give you the sale price."

#StoryText44900,Thank you for playing.<BR>That's it for the trial version.<BR>Please look forward to the official version.

#StoryText45000,Darling, thanks to you, my research has progressed.
#StoryText45100,I'll give you a fresh slave that you can breed.
#StoryText45200,He's my lab assistant.
#StoryText45300,Her research results were not very good and she has a lot of debt.
#StoryText45400,You helped me with my research so you can have her.
#StoryText45500,Please make lots of cute babies inside her womb~

#StoryText45600,Darling, thanks to you, my research has progressed immeasurably.
#StoryText45700,I hope you'll be satisfied with my body.
#StoryText45800,Now you can enjoy sex with me.

#StoryText45900,Thanks to you, business is going well!
#StoryText46000,I'll give you a present in return.
#StoryText46100,She's a thief who was caught trying to steal from the brothel.
#StoryText46200,I could have disposed of her, but I'll give her to you enstead.
#StoryText46300,She can pay me back with by spreading her legs in the very place she tried to steal from!


#StoryText46400,Business seems to be going well.
#StoryText46500,I'll give you a new slave in return.
#StoryText46600,She was a gambling attendant for us, but she was fixing the numbers in her own favor. 
#StoryText46700,Now, she will use her womb to repay us.
#StoryText46800,Make sure she regrets it. 


#StoryText46900,What a successful business!
#StoryText47000,All these slaves getting fucked day after day... We want to get fucked too!
#StoryText47100,Now you can fuck Sena and Lena.

#StoryText47200,Slaves whose Depravity has reached Max will be upgraded to <color=#FFFF00>'all traits at random'</color>.

#StoryText47300,When a slave reaches the maximum number of births, she becomes <color=#FFFF00>'sterile'</color>.
#StoryText47400,Slaves who become infertile can't <color=#FFFF00>'conceive, give birth, or produce breast milk'</color>.
#StoryText47500,Slaves who are infertile can be sold before she becomes sterile, or by using the <color=#FFFF00>'egg recovery potion'</color> to <color=#FFFF00>'reduce the number of births to 0'</color> because <color=#FFFF00>'low birth numbers are more valuable'</color>.

#StoryText47600,Oh my... You went above and beyond. You conquered this brothel and then some. 
#StoryText47700,There is no doubt you deserve to own this place. 
#StoryText47800,What's more, all of us, too. Let's make lots of cute slaves together.
#StoryText47900,Maybe... someday... ~ you can use our wombs to make the highest quality slaves ~

#StoryText48000,There is a likability gauge for NPCs.
#StoryText48100,There are conditions that can fill the NPC's likability and can be checked by pressing the heart icon.
#StoryText48200,You can see H scenes of each NPC if you fill all the NPC's likability.

#StoryText48300,If you finish the game, your personal territory will always open.

#MilkText,Breast milk extracted from unknown.<BR>It is characterized by its complex taste.<BR>Used for the growth of the body, 15% chance that one of the following characteristics will appear.<BR><color=#63E057>Conception rate +5%<BR>Growth time -5s<BR>Maintenance Cost -5<BR>Max health +15<BR>Max birth count +3<BR>Multiple pregnancy +1</color>
#LoliMilkText,Breast milk extracted from Loli.<BR>It is characterized by its its immature taste.<BR>Used for the growth of the body.
#HumanMilkText,Breast milk extracted from human.<BR>It is characterized by its light taste.<BR>Used for the growth of the body, 15% chance that one of the following characteristics will appear.<BR><color=#63E057>Conception rate +5%<BR>Growth time -5s</color>
#ElfMilkText,Breast milk extracted from elf.<BR>It is characterized by its lush smell.<BR>Used for the growth of the body, 15% chance that one of the following characteristics will appear.<BR><color=#63E057>Maintenance Cost -5<BR>Max health +15</color>
#DwarfMilkText,Breast milk extracted from dwarf.<BR>It is characterized by its greasyness.<BR>Used for the growth of the body, 15% chance that one of the following characteristics will appear.<BR><color=#63E057>Conception rate +5%<BR>Max birth count +3</color>
#FurryMilkText,Breast milk extracted from furry.<BR>It is characterized by the taste of grains.<BR>Used for the growth of the body, 15% chance that one of the following characteristics will appear.<BR><color=#63E057>Conception rate +10%<BR>Multiple pregnancy +1<BR>Growth time -10s</color>
#SmallFurryMilkText,Breast milk extracted from small furry.<BR>It is characterized by its fresh taste.<BR>Used for the growth of the body, 15% chance that one of the following characteristics will appear.<BR><color=#63E057>Conception rate +10%<BR>Max birth count +6<BR>Maintenance Cost -10</color>
#DragonianMilkText,Breast milk extracted from dragonian.<BR>It is characterized by its fresh taste.<BR>Used for the growth of the body, 15% chance that one of the following characteristics will appear.<BR><color=#63E057>Conception rate +10%<BR>Growth time -10s<BR>Max health +20<BR>Max birth count +6</color>

#Cumshot,Cumshot
#Sex,Sex
#CumshotInside,Inside
#CumshotOutside,Outside
#Tattoo,Tattoo
#Idle,Idle
#Rest,Rest
#Drained,Rest(Exhaustion)
#Birth1,Birth1
#Birth2,Birth2
#Birth3,Birth3
#Birth4,Birth4
#Birth5,Birth5
#Birth6,Birth1(Exhaustion)
#Birth7,Birth2(Exhaustion)
#Birth8,Birth3(Exhaustion)
#Birth9,Birth4(Exhaustion)
#Birth10,Birth5(Exhaustion)
#Maid,Maid
#Pose,Pose
#Harem,HaremCG
#Harem2,HaremCG2
#SemenBukakke,Semen(Hair)
#SemenOutside,Semen(Out)
#SemenInside,Semen(In)

#DepravedFace,Depraved Face  
#DepravedFace0,Off
#DepravedFace1,On
#DepravedFaceText,Depraved face can only be changed when she is depraved.

#PixySell,Automatic Sale of Children

#StoryText48400,Slave's children, whose options are checked <color=#FFFF00>'Automatic Sale of Children'</color>, are automatically sold by pixies.

#WarningGameOver2,You didn't pay back your debts.
#HaremClearText,<color=#AEFC9B>Clear Condition</color><BR>50,000 gold and 100% likeability of all NPCs <color=#FFFF00>until 51 days before</color>
#AmiliaSceneClearText,<color=#AEFC9B>Clear Condition</color><BR>100% Amilia Likeability
#FloraSceneClearText,<color=#AEFC9B>Clear Condition</color><BR>100% Flora Likeability
#NielSceneClearText,<color=#AEFC9B>Clear Condition</color><BR>100% Niel Likeability
#SenaLenaSceneClearText,<color=#AEFC9B>Clear Condition</color><BR>100% Sena&Lena Likeability
#AmiliaSceneText,Amilia Scene
#FloraSceneText,Flora Scene
#NielSceneText,Noel Scene
#SenaLenaSceneText,Sena&Lena Scene

#StoryText48500,In Infinite mode, there are no events that interfere with play, so you can enjoy it comfortably.

#LowPatchVersion,The patch version may be low and some images may not display well. (Requirement {0} or later)

#PreferenceBestiality,Bestiality
#PreferenceBirth,Birth

#No_Sell_Favorite,You cannot sell favorites.
#No_Dismantle_Favorite,You cannot Dismantle favorites.

#Skip_Tutorial,Do you want to skip the tutorial?<BR> You can turn it on/off again with the option.
#LogMessage_Skip_Tutorial,Tutorial was skipped.

#Use,Use

#Hotkey17,Zoom In
#Hotkey18,Zoom Out

#Continuous,Continuous
#ChangeAll,Change All
#Looks,Looks
#Dead,Dead

v2.0.0.0

#SenaLenaAction1Text,<color=#AEFC9B>Click</color> here to purchase the Cosmetic potion.
#SenaLenaAction2Text,<color=#AEFC9B>Click</color> here to purchase condoms and love gels.
#BarbaraAction1Text,You can create an upgrade room by filling the room upgrade quota.
#BarbaraAction2Text,<color=#AEFC9B>Click</color> here to upgrade your room.

#Hotkey19,Barbara

#SelectNpc,You can choose a partner to help you. Each partner has a different ability. 

#FloraInformation,Flora is in charge of 'dismantling' slaves and monsters. She can create a pixie who can automatically care for slaves.
#NielInformation,Noel can make potions using by-products. She can create slaves, monsters, or giant monsters using DNA.
#SenaLenaInformation,Sena and Lena can open brothel and are in charge of running it. They sell special items that can only be sold at brothel.
#BarbaraInformation,Barbara can upgrade rooms and make room attachments. She can create a device that instantly makes a slave deprived.

#BarbaraSceneText,Barbara Scene
#AchievementTab9,Blacksmith
#PixyCapsule,Capsule

#Anna,Anna
#Nero,Nero
#Sena,Sena
#Lena,Lena
#Rune,Rune
#Barbara,Barbara

#Tentacle1,Tentacle
#Tentacle1,Tentacle Breeding
#Tentacle2,Tentacle Birth
#NpcIdle,Idle
#NpcSex,Sex
#NpcBirth,Birth
#Birth,Birth
#BarbaraSceneClearText,<color=#AEFC9B>Clear Condition</color><BR>100% Barbara Likeability

#TentacleRoom,Tentacle Room
#Capsule,Capsule
#TentacleBreeding,Tentacle Breeding
#Resurrection,Resurrection

#BuyPrivateEstate,Private estate that the player can possess. You can buy it for <sprite index=1>50,000.

#Room_ConceptionRate,Conception rate
#Room_SexTime,Sex Time
#Room_Maintenance,Maintenance
#Room_Cumshot1,Cumshot inside
#Room_Cumshot2,Cumshot outside
#Room_DecreasingHealthOnSex,Slave's health consumed during sex
#Room_Fee,Add fee
#Room_Trait,Add 1 fetus trait
#Room_GrowthTime,Growth time
#Room_VenerealDisease,If the product in the cage is infected with a STD, it is automatically treated (1 day required time).
#Room_Health,Restoring health per second.

#UpgradeBarbara1,Reduce upgrade and reupgrade costs.
#UpgradeBarbara2,Reduce upgrade and reupgrade costs.
#UpgradeBarbara3,Add room upgrade stat stock.
#UpgradeBarbara4,Add room upgrade stat stock.
#UpgradeBarbara5,Reduces the number of enhancements required when crafting capsule.
#UpgradeBarbara6,Reduces the number of enhancements required when crafting capsule.
#UpgradeBarbara7,Reduces the number of enhancements required when crafting capsule.

#A000073Text,Achieved blacksmith opening 
#A000074Text,Achieved <color=#0055FF>{0}</color>/{1} upgrade
#A000075Text,Achieved <color=#0055FF>{0}</color>/{1} reupgrade
#A000076Text,Achieved <color=#0055FF>{0}</color>/{1} capsule crafting times
#A000077Text,Achieved <color=#0055FF>{0}</color>/{1} Barbara favor.

#L401Text,Upgrading the Underground Room
#L402Text,Reupgrading the Underground Room
#L403Text,Upgrading the Ground Room
#L404Text,Reupgrading the Ground Room
#L405Text,Capsule Production
#L406Text,Corrupt human slaves with capsule
#L407Text,Corrupt elf slaves with capsule
#L408Text,Corrupt dwarf slaves with capsule
#L409Text,Corrupt furry slaves with capsule
#L410Text,Corrupt small furry slaves with capsule
#L411Text,Corrupt dragonian slaves with capsule

#Cannot_Upgraded,Unable to upgrade.
#Downgrade,Downgrade
#No_Mana,Not enough essence.
#No_TentacleEgg,Not enough tentacle eggs.
#Need_Soul,Requires {0} essence.
#No_Scene,You can't see the scene in her depraved state.

#Brainwash,Brainwash
#Milking,Milking

#Event_51,Oops, my hand slipped
#Event_51_Text,Barbara fucked up.<BR>Room upgrade failed.
#Event_52,Slump
#Event_52_Text,Barbara is in a slump.<BR>Blacksmith is unavailable for {0} days.
#Event_53,Not this!
#Event_53_Text,Rune requires a specific essence.<BR>For 1 day, receive only the essence from {1} actions of {0} species.
#Event_54,Runaway girl
#Event_54_Text,Rune mysterious errand.<BR>The altar cannot be used for {0} days.

#Item138Name,Tentacle Eggs
#Item138Text,Tentacle Eggs

#Trait_103_Name,God bless
#Trait_103_Text,When Anna become drained or pregnant, she has a 20% chance to be blessed and restored.<BR>Receive one of the following blessings: full health recovery, full breast milk recovery, current birth count reset, or STD cure.

#Trait_104_Name,Brand of Devil
#Trait_104_Text,Optimized for giving birth to creatures of the demon realm. When mating with tentacles, mental is not consumed and continuous mating is possible.

#Trait_105_Name,SUGOI DEKAI
#Trait_105_Text,What charming, gaint tits.<BR>Generally, having a breast size one size up from largest breast size will increase your milk supply.

#Trait_106_Name,Erotomania
#Trait_106_Text,She is an depraved elf who was kicked out of her tribe for being slutty.<BR>She can have continuous sex without breaks.

#Trait_107_Name,Drug addict
#Trait_107_Text,She is always on drugs.<BR>Drugs in her blood restores her health, unless some other effect is hurting her.

#Trait_108_Name,Fools don't catch colds
#Trait_108_Text,She is stupid and always cheerful and full of energy.<BR>She has absolute immunity against STDs.

#Trait_109_Name,Fantastic technique
#Trait_109_Text,Her sex technique is fantastic.<BR>She fucks twice as fast in the Brothel.

#Trait_110_Name,Masochist
#Trait_110_Text,She is a masochist and enjoys suffering.<BR>Corruption rate increase is doubled.

#StoryText48600,Let me introduce you to my <color=#FFFF00>'Business Partner'</color> here.
#StoryText48700,Her name is <color=#FFFF00>'Barbara'</color>. She'll be in charge of <color=#FFFF00>'room upgrades'</color>.
#StoryText48800,Hi.
#StoryText48900,She can <color=#FFFF00>'upgrade room to add different traits.'</color>.
#StoryText49000,Then, please call her whenever you need her.
#StoryText49100,Call me if you need.

#StoryText49200,Hi.
#StoryText49300,I'll teach you <color=#FFFF00>'how to upgrade a room'</color>.
#StoryText49400,<color=#FFFF00>'Click here'</color>.
#StoryText49500,<color=#FFFF00>'Choose the room you want to upgrade'</color>.
#StoryText49600,Then, <color=#FFFF00>'the trait will be added to the room'</color>.
#StoryText49700,The more you <color=#FFFF00>'upgrade the room'</color>, the more I'll add a better <color=#FFFF00>'machine that automatically increases the corruption of slaves'</color>.
#StoryText49800,Well then, good luck in the future, colleague.

#StoryText49900,<color=#FFFF00>'Choose the room'</color> you want to upgrade.
#StoryText50000,The room's <color=#FFFF00>'trait'</color> is attached randomly, and you can increase the <color=#FFFF00>'number of trait points up to three'</color> through <color=#FFFF00>'Barbara upgrade'</color>.

#StoryText50100,You can <color=#FFFF00>'newly adjust your stats through re-upgrade'</color> and <color=#FFFF00>'upgrade and re-upgrade consumes gold'</color>. Through <color=#FFFF00>'Barbara's Upgrades'</color>, <color=#FFFF00>'you can reduce gold cost'</color>.

#StoryText50200,I finished the upgrade.
#StoryText50300,With this, you can <color=#FFFF00>'easily corrupt slaves'</color>.
#StoryText50400,Take it and install it where you want.

#StoryText50500,<color=#FFFF00>'Install the torture chamber wherever you want'</color>.
#StoryText50600,If you <color=#FFFF00>'place a slave in the torture room'</color>, <color=#FFFF00>'the slave's corruption will increase over time'</color>.

#StoryText50700,Thanks to you, business is good.
#StoryText50800,I'll do you a service.
#StoryText50900,Amilia gave it to me, but it's useless.
#StoryText51000,I'll just give it to you. Use it well.

#StoryText51100,Oh, the profit was very good this time.
#StoryText51200,I'll give you something in return.
#StoryText51300,I picked it up on the way.
#StoryText51400,Use it.

#StoryText51500,I've made a lot of money.
#StoryText51600,Thank you.
#StoryText51700,In return, I'll let you fuck me.

#StoryText51800,There was a very strong smell of essence here.
#StoryText51900,Nice to meet you, I'm Rune.
#StoryText52000,Are you... the owner of this place? 
#StoryText52100,Let's make a pack.
#StoryText52200,I've lend you my dark powers. In return, grant me <color=#FFFF00>'essence'</color>.

#StoryText52300,The mysterious girl Rune is from another world.
#StoryText52400,She <color=#FFFF00>'gains essence through sex, milking, and childbirth in the manor'</color>, and can use the essence to <color=#FFFF00>'activiate special abilities'</color>.

#StoryText52500,Now, let me introduce you to just a few of my abilities.
#StoryText52600,I can <color=#FFFF00>'resurrect the dead'</color>.
#StoryText52700,Observe.

#StoryText52800,No corpse?
#StoryText52900,If you don't have one, I'll have to make one. Don't worry about where it's from.
#StoryText53000,<color=#FFFF00>'Choose a corpse'</color> and <color=#FFFF00>'resurrect it'</color>.
#StoryText53100,<color=#FFFF00>'The amount of essence required for each race is different'</color>.
#StoryText53200,You can resurrect a corpse this way.

#StoryText53300,I don't need this anymore.

#StoryText53400,Alright, time for my next ability.
#StoryText53500,Let me introduce you to a  very cute pet from our world. It's a <color=#FFFF00>'Tentacle'</color>.

#StoryText53600,This needs a special room.
#StoryText53700,The right dimentions and atmosphere...
#StoryText53800,Now <color=#FFFF00>'you need eggs to breed tentacles'</color>. I'll give you some now.
#StoryText53900,You can <color=#FFFF00>'grow tentacles in the room'</color> with this.
#StoryText54000,Let's breed.
#StoryText54100,We got cute such tentacles! Tentacles are really, really cute and useful creatures.
#StoryText54200,If it had tentacles, it would be <color=#FFFF00>'very easy to collect essence'</color>.
#StoryText54300,So I hope you make a lot.

#StoryText54400,To create a tentacle, <color=#FFFF00>'3 tentacle eggs'</color> and <color=#FFFF00>'several essences'</color> are required.

#StoryText54500,Now I will teach you <color=#FFFF00>'how to make a tentacle egg'</color>.
#StoryText54600,Try <color=#FFFF00>'place a slave on a tentacle'</color>.
#StoryText54700,Tentacles are really all-purpose, so if you put a slave here, you can collect essence without having to <color=#FFFF00>'manage'</color> them separately.
#StoryText54800,It's convenient because <color=#FFFF00>'sex, milking, childbirth are all handled in one place'</color>.
#StoryText54900,<color=#FFFF00>'Pregnant Slave'</color>? Now <color=#FFFF00>'I'm going to lay eggs in tentacles'</color>.

#StoryText54950,Click on the tentacles' eggs to pick them up.
#StoryText55000,<color=#FFFF00>'The previous eggs are 1 group'</color>, now if you have <color=#FFFF00>'three of these',</color> you can <color=#FFFF00>'propagate tentacles'</color>.

#StoryText55100,Tentacle eggs are really useful, they taste good, they are good for stamina, and they are also very good material.
#StoryText55200,<color=#FFFF00>You can 'Bring in, Sell or Create Tentacles'</color>; it's up to you.
#StoryText55300,If <color=#FFFF00>'Give me the egg back, I'll change it to essence'</color>.

#StoryText55400,When a slave is placed in the tentacle room, <color=#FFFF00>'sex, milking, and childbirth are all automatic'</color>.
#StoryText55500,Also, dlaves placed in the tentacle room<color=#FFFF00>' automatically receive care'</color>.

#StoryText55600,In order to create a tentacle room, you can create a tentacle room by mixing a <color=#FFFF00>'breeding room'</color>, <color=#FFFF00>'3 tentacle eggs'</color> and <color=#FFFF00>'100 essence'</color>.

#StoryText55700,Well, that's the basic idea.
#StoryText55800,Good luck in the future.
#StoryText55900,If you gather all the essence to me.
#StoryText56000,Let me tell you about one of my special abilities.
#StoryText56100,If Rune gets <color=#FFFF00>'666 essence, special changes'</color> will activate.

#StoryText56200,Are you full?
#StoryText56300,Now, it's time for me to go back to being myself.
#StoryText56400,As promised last time, I'll tell you one of my special abilities.
#StoryText56500,Do you have a favorite service provider among the girls here?
#StoryText56600,I'll <color=#FFFF00>'brainwash'</color> her so she can do whatever you want.

#StoryText56700,Rune can <color=#FFFF00>'brainwash an NPC'</color> by consuming <color=#FFFF00>'666 essence'</color>. The brainwashed NPC will be <color=#FFFF00>'placed in your personal territory'</color> and can <color=#FFFF00>'pregnant the player's child'</color>.
#StoryText56800,However, for <color=#FFFF00>'brainwashing'</color>, <color=#FFFF00>'NPC favorability must be Max'</color> and the <color=#FFFF00>'Personal Territory'</color> is required.

#StoryText56900,Who are you going to brainwash?
#StoryText57000,Now you can do whatever you want.
#StoryText57100,I don't think it will work because she doesn't like you, try making her like you.
#StoryText57200,Trying to get a girl without a home?
#StoryText57300,Brainwashing is not omnipotent.

#StoryText57400,Where did this get from?
#StoryText57500,It is a very good quality mana stone.
#StoryText57600,If it's of this quality, it's probably worth more than <color=#FFFF00>'5000 gold'</color> on the market.
#StoryText57700,I don't know where you got this from, but anything that makes money is fine.
#StoryText57800,I will buy this mana stone for <color=#FFFF00>'5000 gold'</color> in the future.

#StoryText57900,Now... it's time to make your wish come true
#StoryText58000,What am I doing?
#StoryText58100,I never said that <color=#FFFF00>'your wish'</color> will come true in the first place.
#StoryText58200,You did a good job. Since you're useful, I'll take special <color=#FFFF00>'care'</color> of you.
#StoryText58300,Let's do our best in the future, partner.

#RuneEnding,Rune Ending
#RuneClearText,<color=#AEFC9B>Clear Condition</color><BR>All NPC brainwashed, 100 tentacle rooms created, 100 tentacle eggs sold <color=#FFFF00> ?Before 51 days?</color> (Localizer Note: no idea what she's trying to say :? ) 

